2023-02-25 22:01:27,116 [AppLog] INFO : 退出手动调试子模块，未执行修改
==========================================================================
2023-02-25 22:01:29,441 [AppLog] INFO : 进入手动调试子模块！
2023-02-25 22:02:10,937 [AppLog] INFO : 退出手动调试子模块，未执行修改
==========================================================================
2023-02-25 22:02:11,904 [AppLog] INFO : 进入手动调试子模块！
2023-02-25 22:02:13,308 [AppLog] INFO : 退出手动调试子模块，未执行修改
==========================================================================
2023-02-25 22:02:14,213 [AppLog] INFO : 进入电气控制模块
2023-02-25 22:02:16,740 [AppLog] INFO : 退出电气控制模块
2023-02-25 22:02:17,614 [AppLog] INFO : 显示模组校准栏
2023-02-25 22:02:20,640 [AppLog] INFO : 不显示模组校准栏
2023-02-25 22:02:22,621 [AppLog] INFO : 进入手动调试子模块！
2023-02-25 22:02:31,997 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:32,075 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:32,153 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:32,262 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:32,340 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:32,449 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:32,527 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:32,621 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:32,683 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:32,793 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:32,871 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:32,980 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:33,042 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:33,167 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:33,229 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:33,307 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:33,401 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:33,479 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:33,588 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:33,651 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:33,744 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:33,869 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:33,947 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:34,041 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:34,259 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:34,337 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:02:34,649 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:02:34,711 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:03:08,969 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第2轴},运动速度{50MM/s}
2023-02-25 22:03:09,047 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第2轴}
2023-02-25 22:03:10,108 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第2轴},运动速度{50MM/s}
2023-02-25 22:03:10,155 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第2轴}
2023-02-25 22:03:36,456 [AppLog] INFO : 退出手动调试子模块，未执行修改
==========================================================================
2023-02-25 22:03:50,013 [AppLog] INFO : 进入手动调试子模块！
2023-02-25 22:04:02,961 [AppLog] INFO : 退出手动调试子模块，未执行修改
==========================================================================
2023-02-25 22:04:04,240 [AppLog] INFO : 进入手动调试子模块！
2023-02-25 22:07:56,524 [AppLog] INFO : 退出手动调试子模块，未执行修改
==========================================================================
2023-02-25 22:07:57,601 [AppLog] INFO : 进入电气控制模块
2023-02-25 22:08:22,608 [AppLog] INFO : 退出电气控制模块
2023-02-25 22:08:23,497 [AppLog] INFO : 进入手动调试子模块！
2023-02-25 22:08:28,239 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:09:03,199 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:09:03,324 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:09:11,716 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:09:12,559 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:09:13,074 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:09:14,010 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:09:14,290 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:09:14,415 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:09:14,493 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:09:14,587 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:09:14,665 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:09:14,758 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:09:14,899 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:09:14,914 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:09:20,998 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:09:21,888 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:09:35,132 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:09:35,304 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:09:36,146 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:09:36,287 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:09:45,522 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:09:45,662 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:09:45,834 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:09:45,912 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:09:48,408 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:09:48,564 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:09:48,891 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:09:48,985 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:05,989 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:06,207 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:06,317 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:06,410 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:06,504 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:06,597 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:06,707 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:06,769 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:06,894 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:06,987 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:07,081 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:07,237 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:07,377 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:07,455 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:07,580 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:07,845 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:07,986 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:08,079 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:08,173 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:08,267 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:08,376 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:08,485 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:08,594 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:08,703 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:08,813 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:08,906 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:09,031 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:09,125 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:09,234 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:09,327 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:11,246 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:11,371 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:11,465 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:11,558 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:11,636 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:11,730 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:11,823 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:11,901 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:12,011 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:12,073 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:12,167 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:12,260 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:12,354 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:12,432 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:12,557 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:12,666 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:16,457 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:16,628 [AppLog] INFO : 手动负向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:10:24,179 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:10:26,394 [AppLog] INFO : 退出手动调试子模块，未执行修改
==========================================================================
2023-02-25 22:10:27,299 [AppLog] INFO : 进入电气控制模块
2023-02-25 22:10:28,578 [AppLog] INFO : 电气控制模块：手动关闭端口14
2023-02-25 22:10:29,670 [AppLog] INFO : 电气控制模块：手动关闭端口15
2023-02-25 22:10:30,777 [AppLog] INFO : 退出电气控制模块
2023-02-25 22:11:02,726 [AppLog] INFO : 进入手动调试子模块！
2023-02-25 22:11:04,754 [AppLog] INFO : 退出手动调试子模块，未执行修改
==========================================================================
2023-02-25 22:11:05,565 [AppLog] INFO : 进入电气控制模块
2023-02-25 22:11:10,355 [AppLog] INFO : 退出电气控制模块
2023-02-25 22:11:11,649 [AppLog] INFO : 进入手动调试子模块！
2023-02-25 22:11:13,911 [AppLog] INFO : 退出手动调试子模块，未执行修改
==========================================================================
2023-02-25 22:11:14,941 [AppLog] INFO : 开启系统：板卡通讯，伺服供电，照明系统，UV/HR固化系统！
2023-02-25 22:11:15,908 [AppLog] INFO : 关闭系统：一键关闭系统开始！
2023-02-25 22:11:21,119 [AppLog] INFO : 关闭系统：一键关闭系统结束！
2023-02-25 22:11:21,119 [AppLog] INFO : 喷墨控制器的所有轴输出关闭！
2023-02-25 22:11:21,150 [AppLog] INFO : 喷墨控制器关闭！
2023-02-25 22:11:21,150 [AppLog] INFO : 进入电气控制模块
2023-02-25 22:11:33,318 [AppLog] INFO : 退出电气控制模块
2023-02-25 22:16:59,109 [AppLog] INFO : 进入手动调试子模块！
2023-02-25 22:17:00,856 [AppLog] INFO : 退出手动调试子模块，未执行修改
==========================================================================
2023-02-25 22:17:01,854 [AppLog] INFO : 开启系统：板卡通讯，伺服供电，照明系统，UV/HR固化系统！
2023-02-25 22:17:01,854 [AppLog] INFO : 开启系统：一键启动系统开始！
2023-02-25 22:17:06,924 [AppLog] INFO : 开启系统：一键启动系统结束！
2023-02-25 22:17:34,708 [AppLog] INFO : 初始化喷墨控制器！
2023-02-25 22:17:34,849 [AppLog] INFO : 红外灯控制器485通讯建立！
2023-02-25 22:17:34,849 [AppLog] INFO : 进入电气控制模块
2023-02-25 22:17:38,015 [AppLog] INFO : 电气控制模块：手动打开端口15
2023-02-25 22:17:38,920 [AppLog] INFO : 电气控制模块：手动打开端口14
2023-02-25 22:17:39,607 [AppLog] INFO : 退出电气控制模块
2023-02-25 22:17:40,714 [AppLog] INFO : 进入手动调试子模块！
2023-02-25 22:17:42,883 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:17:42,992 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:17:43,366 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:17:43,429 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:17:43,694 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:17:43,772 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:17:45,285 [AppLog] INFO : 退出手动调试子模块，未执行修改
==========================================================================
2023-02-25 22:17:46,205 [AppLog] INFO : 进入电气控制模块
2023-02-25 22:17:47,344 [AppLog] INFO : 电气控制模块：手动关闭端口14
2023-02-25 22:17:48,171 [AppLog] INFO : 电气控制模块：手动关闭端口15
2023-02-25 22:17:49,060 [AppLog] INFO : 退出电气控制模块
2023-02-25 22:17:49,700 [AppLog] INFO : 进入手动调试子模块！
2023-02-25 22:17:52,227 [AppLog] INFO : 退出手动调试子模块，未执行修改
==========================================================================
2023-02-25 22:17:53,023 [AppLog] INFO : 进入电气控制模块
2023-02-25 22:17:54,239 [AppLog] INFO : 电气控制模块：手动打开端口14
2023-02-25 22:17:54,926 [AppLog] INFO : 退出电气控制模块
2023-02-25 22:17:56,065 [AppLog] INFO : 进入手动调试子模块！
2023-02-25 22:17:58,093 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:17:58,155 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:17:59,980 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:18:00,043 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:18:00,854 [AppLog] INFO : 退出手动调试子模块，未执行修改
==========================================================================
2023-02-25 22:18:02,071 [AppLog] INFO : 进入电气控制模块
2023-02-25 22:18:03,209 [AppLog] INFO : 电气控制模块：手动打开端口15
2023-02-25 22:18:03,989 [AppLog] INFO : 退出电气控制模块
2023-02-25 22:18:04,925 [AppLog] INFO : 进入手动调试子模块！
2023-02-25 22:18:07,156 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:18:07,250 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:18:07,531 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:18:07,655 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:18:07,765 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:18:07,874 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:18:08,014 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:18:08,077 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:18:08,248 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:18:08,357 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:18:08,591 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:18:08,716 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:18:09,059 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:18:10,058 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:18:10,276 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:18:13,646 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:18:13,786 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:18:13,989 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
2023-02-25 22:18:14,083 [AppLog] INFO : 手动正向JOG指令（8轴运控板卡系统） ====》：输出AXIS{第1轴},运动速度{5MM/s}
2023-02-25 22:18:14,270 [AppLog] INFO : 手动停止JOG输出（8轴运控板卡系统） ====》：输出AXIS{第1轴}
